"Breed","Chromosome","CNV_Type","Size_kb","Breed_Class"
"German Shepherd",13,"Loss",20.1,"Working"
"Boxer",31,"Loss",44.52,"Working"
"German Shepherd",30,"Loss",61.79,"Working"
"Labrador",22,"Loss",183.37,"Sporting"
"Beagle",30,"Loss",82.57,"Hound"
"German Shepherd",10,"Loss",59.9,"Working"
"Beagle",16,"Gain",229.91,"Hound"
"Labrador",5,"Gain",132.08,"Sporting"
"Labrador",36,"Loss",90.32,"Sporting"
"German Shepherd",33,"Gain",83.72,"Working"
"Poodle",16,"Gain",126.07,"Toy"
"Poodle",28,"Loss",31.62,"Toy"
"Poodle",12,"Gain",232.14,"Toy"
"Labrador",28,"Gain",155.19,"Sporting"
"German Shepherd",2,"Loss",73.33,"Working"
"Boxer",12,"Loss",279.65,"Working"
"Beagle",6,"Gain",26.11,"Hound"
"Boxer",16,"Gain",62.65,"Working"
"Beagle",15,"Gain",76.21,"Hound"
"Labrador",19,"Gain",139.53,"Sporting"
"German Shepherd",3,"Gain",136.04,"Working"
"Poodle",33,"Gain",206.09,"Toy"
"Poodle",33,"Loss",78.42,"Toy"
"Boxer",11,"Loss",166.98,"Working"
"Poodle",36,"Loss",88.13,"Toy"
"Boxer",10,"Loss",13.37,"Working"
"German Shepherd",24,"Gain",66.08,"Working"
"Poodle",28,"Loss",86.31,"Toy"
"German Shepherd",18,"Gain",30.98,"Working"
"Labrador",17,"Loss",76.65,"Sporting"
"Poodle",20,"Gain",185.08,"Toy"
"Poodle",9,"Gain",85.55,"Toy"
"Poodle",11,"Gain",83.64,"Toy"
"Boxer",8,"Loss",95.44,"Working"
"Beagle",5,"Loss",59.18,"Hound"
"German Shepherd",29,"Loss",92.52,"Working"
"Poodle",6,"Gain",84.95,"Toy"
"German Shepherd",10,"Gain",118.52,"Working"
"Boxer",26,"Loss",52.72,"Working"
"Labrador",9,"Loss",79.09,"Sporting"
"Labrador",11,"Gain",151.19,"Sporting"
"Beagle",6,"Gain",46.78,"Hound"
"German Shepherd",32,"Gain",147.87,"Working"
"Labrador",12,"Gain",349.21,"Sporting"
"Boxer",19,"Gain",209.98,"Working"
"Poodle",27,"Gain",73.27,"Toy"
"Beagle",32,"Gain",98.83,"Hound"
"Poodle",27,"Gain",49.14,"Toy"
"Labrador",30,"Gain",65.79,"Sporting"
"Labrador",4,"Gain",121.45,"Sporting"
"Labrador",24,"Loss",80.44,"Sporting"
"Labrador",28,"Gain",68.46,"Sporting"
"Boxer",3,"Loss",101.34,"Working"
"Beagle",6,"Gain",45.09,"Hound"
"Boxer",36,"Loss",90.87,"Working"
"Beagle",30,"Loss",58.21,"Hound"
"Labrador",10,"Gain",29.99,"Sporting"
"Labrador",25,"Loss",107.54,"Sporting"
"Boxer",38,"Loss",56.61,"Working"
"Beagle",36,"Gain",93.5,"Hound"
"Labrador",25,"Gain",53.92,"Sporting"
"Poodle",4,"Loss",165.72,"Toy"
"Beagle",15,"Loss",34.47,"Hound"
"Beagle",22,"Gain",37.27,"Hound"
"German Shepherd",24,"Loss",65.38,"Working"
"Boxer",37,"Gain",135.94,"Working"
"Boxer",15,"Loss",69.87,"Working"
"Labrador",16,"Loss",37.03,"Sporting"
"Labrador",19,"Loss",74.56,"Sporting"
"German Shepherd",8,"Gain",82.45,"Working"
"Beagle",31,"Gain",14.71,"Hound"
"Labrador",37,"Loss",187.03,"Sporting"
"Labrador",16,"Loss",26.61,"Sporting"
"German Shepherd",9,"Loss",89.5,"Working"
"German Shepherd",11,"Gain",127.81,"Working"
"Boxer",30,"Gain",154.05,"Working"
"Poodle",10,"Loss",62.53,"Toy"
"Beagle",34,"Gain",16.94,"Hound"
"Boxer",38,"Loss",189.24,"Working"
"Beagle",20,"Loss",159.72,"Hound"
"Poodle",14,"Loss",134.8,"Toy"
"Labrador",6,"Loss",58.44,"Sporting"
"Boxer",18,"Gain",156.41,"Working"
"Boxer",2,"Loss",77.53,"Working"
"Boxer",8,"Loss",93.57,"Working"
"Labrador",11,"Gain",74.75,"Sporting"
"German Shepherd",21,"Gain",10.58,"Working"
"Boxer",7,"Loss",42.2,"Working"
"Beagle",23,"Loss",113.5,"Hound"
"Beagle",8,"Gain",87.05,"Hound"
"Boxer",10,"Gain",36.84,"Working"
"Beagle",37,"Gain",20.12,"Hound"
"Boxer",17,"Gain",138.67,"Working"
"Labrador",6,"Gain",3.2,"Sporting"
"Beagle",6,"Gain",23.07,"Hound"
"German Shepherd",28,"Gain",110.59,"Working"
"Labrador",32,"Gain",117.93,"Sporting"
"Poodle",35,"Gain",69.2,"Toy"
"Labrador",28,"Gain",413.83,"Sporting"
"Beagle",20,"Loss",144.21,"Hound"
"Boxer",1,"Gain",19.04,"Working"
"Poodle",5,"Gain",291.9,"Toy"
"Beagle",11,"Gain",121.21,"Hound"
"Labrador",20,"Loss",88.24,"Sporting"
"Boxer",2,"Loss",0.71,"Working"
"Labrador",10,"Loss",125.95,"Sporting"
"Boxer",7,"Loss",139.01,"Working"
"Poodle",38,"Loss",32.42,"Toy"
"German Shepherd",36,"Loss",198.79,"Working"
"Boxer",23,"Loss",68.43,"Working"
"Boxer",34,"Loss",83.98,"Working"
"Beagle",24,"Gain",65.11,"Hound"
"Poodle",4,"Gain",67.81,"Toy"
